Word count in each index with duplicates,,,,Word count in each index without duplicates,,,,,,
Row Labels,Count of wiki_word,,,Row Labels,Count of wiki_word,,,,,
2,8522,,,77,1208,,,,,
77,3630,,,80,1052,,,,,
95,3484,,,117,1033,,,,,
131,3356,,,112,983,,,,Total word count with duplicates,368375
25,3321,,,158,977,,,,Total word count without  duplicates,81181
113,3211,,,62,963,,,,,
158,3185,,,87,962,,,,,
80,3183,,,157,943,,,,,
33,3111,,,6,937,,,,,
187,3029,,,188,898,,,,,
87,2983,,,137,872,,,,,
36,2896,,,25,856,,,,,
145,2841,,,187,838,,,,,
172,2832,,,18,815,,,,,
64,2828,,,36,807,,,,,
29,2823,,,113,797,,,,,
76,2782,,,172,778,,,,,
117,2688,,,52,774,,,,,
52,2679,,,35,748,,,,,
23,2663,,,29,742,,,,,
157,2653,,,8,740,,,,,
55,2645,,,27,740,,,,,
184,2639,,,142,739,,,,,
188,2619,,,111,736,,,,,
24,2607,,,170,714,,,,,
90,2607,,,20,707,,,,,
89,2595,,,196,687,,,,,
171,2578,,,159,685,,,,,
6,2575,,,151,684,,,,,
0,2572,,,132,676,,,,,
161,2572,,,19,641,,,,,
133,2560,,,21,636,,,,,
10,2554,,,169,627,,,,,
16,2553,,,24,619,,,,,
18,2534,,,37,619,,,,,
122,2534,,,89,613,,,,,
53,2518,,,54,611,,,,,
19,2506,,,144,610,,,,,
70,2477,,,26,609,,,,,
137,2460,,,173,607,,,,,
112,2451,,,99,606,,,,,
62,2424,,,145,600,,,,,
60,2403,,,108,590,,,,,
54,2383,,,23,589,,,,,
35,2350,,,3,586,,,,,
196,2318,,,48,583,,,,,
68,2317,,,171,583,,,,,
195,2312,,,138,574,,,,,
146,2306,,,146,573,,,,,
132,2298,,,95,564,,,,,
22,2294,,,13,535,,,,,
181,2292,,,57,533,,,,,
104,2285,,,191,522,,,,,
134,2279,,,64,517,,,,,
11,2267,,,70,516,,,,,
199,2266,,,38,515,,,,,
3,2265,,,162,513,,,,,
63,2249,,,5,513,,,,,
102,2246,,,197,499,,,,,
198,2235,,,33,497,,,,,
27,2229,,,30,480,,,,,
155,2225,,,11,480,,,,,
39,2220,,,150,479,,,,,
99,2212,,,178,477,,,,,
5,2208,,,126,475,,,,,
38,2207,,,56,474,,,,,
138,2186,,,133,470,,,,,
49,2185,,,181,468,,,,,
4,2161,,,46,468,,,,,
170,2157,,,165,466,,,,,
165,2153,,,60,465,,,,,
31,2135,,,194,454,,,,,
118,2126,,,114,454,,,,,
169,2125,,,135,453,,,,,
43,2111,,,55,453,,,,,
59,2105,,,152,451,,,,,
48,2104,,,105,443,,,,,
111,2091,,,110,442,,,,,
72,2061,,,47,424,,,,,
168,2054,,,15,422,,,,,
109,2045,,,109,421,,,,,
78,2039,,,183,418,,,,,
149,2016,,,128,417,,,,,
8,1995,,,107,416,,,,,
173,1987,,,104,415,,,,,
152,1982,,,14,413,,,,,
194,1975,,,160,413,,,,,
191,1972,,,127,411,,,,,
114,1966,,,78,411,,,,,
61,1949,,,0,410,,,,,
30,1935,,,131,406,,,,,
56,1926,,,66,404,,,,,
143,1909,,,10,400,,,,,
164,1898,,,175,396,,,,,
144,1891,,,121,390,,,,,
34,1886,,,79,384,,,,,
177,1862,,,122,383,,,,,
176,1857,,,69,381,,,,,
148,1855,,,39,380,,,,,
105,1855,,,63,374,,,,,
129,1849,,,67,369,,,,,
142,1847,,,34,366,,,,,
115,1841,,,1,362,,,,,
69,1838,,,100,361,,,,,
124,1820,,,119,355,,,,,
110,1815,,,43,351,,,,,
37,1811,,,195,342,,,,,
189,1808,,,72,332,,,,,
108,1795,,,177,330,,,,,
42,1769,,,189,329,,,,,
125,1747,,,125,326,,,,,
21,1735,,,49,318,,,,,
100,1731,,,28,317,,,,,
192,1717,,,136,314,,,,,
15,1717,,,123,308,,,,,
85,1707,,,164,305,,,,,
121,1704,,,61,301,,,,,
20,1693,,,190,299,,,,,
162,1687,,,153,298,,,,,
26,1684,,,184,297,,,,,
159,1682,,,76,297,,,,,
193,1681,,,129,296,,,,,
128,1681,,,149,295,,,,,
57,1679,,,85,294,,,,,
153,1674,,,168,293,,,,,
83,1674,,,102,293,,,,,
127,1673,,,17,282,,,,,
9,1672,,,155,280,,,,,
160,1659,,,12,280,,,,,
126,1652,,,140,280,,,,,
67,1649,,,42,275,,,,,
14,1646,,,22,273,,,,,
154,1628,,,9,272,,,,,
47,1626,,,156,271,,,,,
51,1612,,,7,266,,,,,
178,1565,,,16,263,,,,,
28,1541,,,68,256,,,,,
150,1537,,,90,255,,,,,
97,1530,,,192,253,,,,,
107,1506,,,96,252,,,,,
151,1505,,,97,251,,,,,
106,1493,,,143,251,,,,,
103,1488,,,199,246,,,,,
13,1465,,,59,246,,,,,
46,1451,,,82,246,,,,,
119,1439,,,84,245,,,,,
183,1418,,,167,243,,,,,
175,1404,,,134,240,,,,,
79,1383,,,53,239,,,,,
185,1362,,,198,238,,,,,
1,1342,,,31,230,,,,,
12,1326,,,147,229,,,,,
123,1310,,,115,228,,,,,
66,1302,,,193,221,,,,,
135,1279,,,50,218,,,,,
147,1215,,,41,211,,,,,
50,1208,,,65,208,,,,,
75,1186,,,2,206,,,,,
86,1177,,,118,203,,,,,
140,1160,,,88,195,,,,,
65,1155,,,185,195,,,,,
84,1147,,,106,193,,,,,
93,1129,,,186,193,,,,,
7,1116,,,120,191,,,,,
197,1110,,,44,190,,,,,
182,1025,,,103,188,,,,,
163,1012,,,179,182,,,,,
136,1004,,,40,177,,,,,
17,957,,,83,176,,,,,
139,940,,,163,176,,,,,
41,918,,,93,172,,,,,
179,873,,,148,170,,,,,
167,841,,,182,169,,,,,
82,814,,,51,164,,,,,
156,779,,,180,151,,,,,
73,722,,,91,136,,,,,
120,718,,,161,135,,,,,
180,674,,,92,126,,,,,
44,672,,,73,117,,,,,
40,645,,,176,115,,,,,
190,644,,,130,113,,,,,
88,627,,,166,112,,,,,
166,624,,,98,112,,,,,
101,623,,,75,109,,,,,
81,621,,,71,108,,,,,
98,620,,,81,107,,,,,
130,617,,,32,105,,,,,
74,616,,,4,101,,,,,
32,607,,,116,101,,,,,
91,510,,,74,100,,,,,
96,509,,,101,99,,,,,
186,504,,,124,88,,,,,
71,449,,,154,78,,,,,
45,435,,,45,77,,,,,
174,382,,,141,76,,,,,
94,379,,,86,65,,,,,
141,341,,,139,65,,,,,
92,318,,,58,15,,,,,
58,231,,,174,1,,,,,
116,172,,,94,1,,,,,
Grand Total,368375,,,(blank),,,,,,
,,,,Grand Total,81181,,,,,
